mo_id,case_id,target_type,target_value,time_window,day_or_night,duration,entry_method,approach_method,tool_type,weapon_or_tool_refs,vehicle_type,transport_pattern,concealment_indicators,action_sequence,victim_interaction,escape_method,route_indicators,team_size,role_structure,targeted_property_category,mo_embedding,synthetic_demo_record
MO_0011,11,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0012,12,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0013,13,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0014,14,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0015,15,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0016,16,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0017,17,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0018,18,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0019,19,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0020,20,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0021,21,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0022,22,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0023,23,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0024,24,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0025,25,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0026,26,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0027,27,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0028,28,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0029,29,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0030,30,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0031,31,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0032,32,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0033,33,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0034,34,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0035,35,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0036,36,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0037,37,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0038,38,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0039,39,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0040,40,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0041,41,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0042,42,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0043,43,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
